sensor_id;sensor_type;location;lat;lon;timestamp;temperature;humidity
36474;DHT22;81266;53.248;-6.124;2025-06-01T00:00:00;13.00;99.90
77700;DHT22;66867;42.658;23.320;2025-06-01T00:00:00;13.1;97
41666;DHT22;27920;48.66749610;9.11986438;2025-06-01T00:00:00;14.9;90
30134;DHT22;16946;49.984;10.672;2025-06-01T00:00:00;16.20;99.90
90666;DHT22;82877;51.68547460;3.89974340;2025-06-01T00:00:00;16.7;73
18091;DHT22;9172;49.948;9.208;2025-06-01T00:00:00;17.20;99.90
83770;DHT22;73763;48.936;9.300;2025-06-01T00:00:00;17.80;99.90
3492;DHT22;1760;52.480;13.422;2025-06-01T00:00:00;19.80;99.90
1786;DHT22;890;48.158;11.540;2025-06-01T00:00:00;21.70;66.50
33105;DHT22;19476;51.448;6.674;2025-06-01T00:00:00;23.00;56.40
32023;DHT22;18541;41.58222649;12.58185983;2025-06-01T00:00:00;23.10;99.90
30194;DHT22;30263;47.86649780;-4.22200888;2025-06-01T00:00:00;25.40;63.60
82855;DHT22;72616;48.85256193;2.42741793;2025-06-01T00:00:00;26.51;49.71
12684;DHT22;6406;59.312;18.058;2025-06-01T00:00:01;11.70;1.00
18408;DHT22;9330;52.210;21.174;2025-06-01T00:00:01;13.30;1.00
52661;DHT22;41216;-27.90196729;32.31903619;2025-06-01T00:00:01;14.40;98.80
16263;DHT22;8239;48.594;8.598;2025-06-01T00:00:01;14.60;99.90
43774;DHT22;29394;50.75721780;7.19406000;2025-06-01T00:00:01;16.80;99.90
67801;DHT22;54598;48.47074135;9.08559144;2025-06-01T00:00:01;16.97;96.92
10453;DHT22;5274;51.992;8.518;2025-06-01T00:00:01;17.40;95.60
51577;DHT22;37664;53.19773588;6.87361121;2025-06-01T00:00:01;17.80;99.90
20706;DHT22;10514;49.468;11.044;2025-06-01T00:00:01;18.20;99.90
55211;DHT22;41082;52.822;6.666;2025-06-01T00:00:01;20.10;99.90
64324;DHT22;50660;53.09778030;6.68392510;2025-06-01T00:00:01;20.50;99.90
