sensor_id;sensor_type;location;lat;lon;timestamp;pressure;altitude;pressure_sealevel;temperature;humidity
113;BME280;45999;48.808;9.182;2025-01-01T03:45:01;98974.78;;;-2.71;100.00
113;BME280;45999;48.808;9.182;2025-01-01T03:47:26;98972.97;;;-2.71;100.00
113;BME280;45999;48.808;9.182;2025-01-01T03:49:56;98961.66;;;-2.70;100.00
113;BME280;45999;48.808;9.182;2025-01-01T03:52:21;98954.88;;;-2.72;100.00
113;BME280;45999;48.808;9.182;2025-01-01T03:54:51;98958.50;;;-2.86;100.00
113;BME280;45999;48.808;9.182;2025-01-01T03:57:17;98960.31;;;-2.75;100.00
113;BME280;45999;48.808;9.182;2025-01-01T03:59:46;98951.09;;;-2.79;100.00
113;BME280;45999;48.808;9.182;2025-01-01T04:02:12;98950.59;;;-2.84;100.00
113;BME280;45999;48.808;9.182;2025-01-01T04:04:41;98938.03;;;-2.90;100.00
113;BME280;45999;48.808;9.182;2025-01-01T04:07:07;98934.31;;;-2.75;100.00
113;BME280;45999;48.808;9.182;2025-01-01T04:09:36;98930.78;;;-2.98;100.00
113;BME280;45999;48.808;9.182;2025-01-01T04:12:02;98922.78;;;-2.95;100.00
113;BME280;45999;48.808;9.182;2025-01-01T04:14:33;98916.72;;;-2.95;100.00
113;BME280;45999;48.808;9.182;2025-01-01T04:17:00;98918.16;;;-2.91;100.00
113;BME280;45999;48.808;9.182;2025-01-01T04:19:33;98904.56;;;-2.95;100.00
113;BME280;45999;48.808;9.182;2025-01-01T04:21:59;98898.41;;;-2.94;100.00
113;BME280;45999;48.808;9.182;2025-01-01T04:24:29;98901.50;;;-2.89;100.00
113;BME280;45999;48.808;9.182;2025-01-01T04:26:55;98899.72;;;-2.99;100.00
113;BME280;45999;48.808;9.182;2025-01-01T04:29:24;98894.28;;;-2.96;100.00
113;BME280;45999;48.808;9.182;2025-01-01T04:31:50;98890.97;;;-2.98;100.00
113;BME280;45999;48.808;9.182;2025-01-01T04:34:19;98892.84;;;-3.00;100.00
113;BME280;45999;48.808;9.182;2025-01-01T04:36:45;98893.00;;;-2.91;100.00
113;BME280;45999;48.808;9.182;2025-01-01T04:39:14;98893.00;;;-2.91;100.00
113;BME280;45999;48.808;9.182;2025-01-01T04:41:44;98887.56;;;-2.88;100.00
113;BME280;45999;48.808;9.182;2025-01-01T04:44:09;98890.75;;;-2.84;100.00
113;BME280;45999;48.808;9.182;2025-01-01T04:46:39;98878.44;;;-2.93;100.00
113;BME280;45999;48.808;9.182;2025-01-01T04:49:05;98876.16;;;-2.98;100.00
113;BME280;45999;48.808;9.182;2025-01-01T04:51:34;98876.63;;;-3.04;100.00
113;BME280;45999;48.808;9.182;2025-01-01T04:54:00;98865.41;;;-3.04;100.00
113;BME280;45999;48.808;9.182;2025-01-01T04:56:29;98876.16;;;-2.98;100.00
113;BME280;45999;48.808;9.182;2025-01-01T04:58:55;98883.66;;;-2.93;100.00
113;BME280;45999;48.808;9.182;2025-01-01T05:01:24;98881.16;;;-3.06;100.00
113;BME280;45999;48.808;9.182;2025-01-01T05:03:50;98879.94;;;-3.02;100.00
113;BME280;45999;48.808;9.182;2025-01-01T05:06:19;98872.72;;;-3.09;100.00
113;BME280;45999;48.808;9.182;2025-01-01T05:08:45;98865.28;;;-3.14;100.00
113;BME280;45999;48.808;9.182;2025-01-01T05:11:15;98856.53;;;-3.02;100.00
113;BME280;45999;48.808;9.182;2025-01-01T05:13:40;98850.63;;;-3.15;100.00
113;BME280;45999;48.808;9.182;2025-01-01T05:16:10;98851.34;;;-3.02;100.00
113;BME280;45999;48.808;9.182;2025-01-01T05:18:35;98838.31;;;-3.13;100.00
113;BME280;45999;48.808;9.182;2025-01-01T05:21:05;98841.97;;;-3.15;100.00
113;BME280;45999;48.808;9.182;2025-01-01T05:23:31;98834.28;;;-3.17;100.00
113;BME280;45999;48.808;9.182;2025-01-01T05:26:02;98835.03;;;-3.15;100.00
113;BME280;45999;48.808;9.182;2025-01-01T05:28:28;98822.47;;;-3.21;100.00
113;BME280;45999;48.808;9.182;2025-01-01T05:30:57;98820.81;;;-3.11;100.00
113;BME280;45999;48.808;9.182;2025-01-01T05:33:23;98812.78;;;-3.08;100.00
113;BME280;45999;48.808;9.182;2025-01-01T05:35:52;98811.84;;;-3.18;100.00
113;BME280;45999;48.808;9.182;2025-01-01T05:38:18;98811.63;;;-3.15;100.00
113;BME280;45999;48.808;9.182;2025-01-01T05:40:47;98804.19;;;-3.08;100.00
113;BME280;45999;48.808;9.182;2025-01-01T05:43:13;98807.84;;;-3.00;100.00
113;BME280;45999;48.808;9.182;2025-01-01T05:45:43;98805.13;;;-2.98;100.00
113;BME280;45999;48.808;9.182;2025-01-01T05:48:08;98815.53;;;-2.98;100.00
113;BME280;45999;48.808;9.182;2025-01-01T05:50:38;98814.34;;;-2.94;100.00
113;BME280;45999;48.808;9.182;2025-01-01T05:53:03;98812.56;;;-3.05;100.00
113;BME280;45999;48.808;9.182;2025-01-01T05:55:33;98802.59;;;-3.11;100.00
113;BME280;45999;48.808;9.182;2025-01-01T05:57:58;98809.84;;;-3.03;100.00
113;BME280;45999;48.808;9.182;2025-01-01T06:00:29;98800.03;;;-3.00;100.00
113;BME280;45999;48.808;9.182;2025-01-01T06:02:54;98816.59;;;-3.01;100.00
113;BME280;45999;48.808;9.182;2025-01-01T06:05:24;98804.88;;;-3.06;100.00
113;BME280;45999;48.808;9.182;2025-01-01T06:07:49;98812.09;;;-2.99;100.00
113;BME280;45999;48.808;9.182;2025-01-01T06:10:19;98807.38;;;-3.05;100.00
113;BME280;45999;48.808;9.182;2025-01-01T06:12:46;98802.38;;;-3.08;100.00
113;BME280;45999;48.808;9.182;2025-01-01T06:15:16;98799.31;;;-3.13;100.00
113;BME280;45999;48.808;9.182;2025-01-01T06:17:42;98796.38;;;-3.08;100.00
113;BME280;45999;48.808;9.182;2025-01-01T06:20:11;98797.19;;;-3.08;100.00
113;BME280;45999;48.808;9.182;2025-01-01T06:22:37;98797.19;;;-3.19;100.00
113;BME280;45999;48.808;9.182;2025-01-01T06:25:07;98797.06;;;-3.06;100.00
113;BME280;45999;48.808;9.182;2025-01-01T06:27:33;98808.31;;;-2.95;100.00
113;BME280;45999;48.808;9.182;2025-01-01T06:30:03;98803.81;;;-3.15;100.00
113;BME280;45999;48.808;9.182;2025-01-01T06:32:29;98812.31;;;-3.02;100.00
113;BME280;45999;48.808;9.182;2025-01-01T06:34:58;98806.53;;;-3.05;100.00
113;BME280;45999;48.808;9.182;2025-01-01T06:37:24;98802.38;;;-3.08;100.00
113;BME280;45999;48.808;9.182;2025-01-01T06:39:54;98807.84;;;-3.00;100.00
113;BME280;45999;48.808;9.182;2025-01-01T06:42:19;98791.06;;;-2.96;100.00
113;BME280;45999;48.808;9.182;2025-01-01T06:44:49;98794.94;;;-3.01;100.00
113;BME280;45999;48.808;9.182;2025-01-01T06:47:14;98792.25;;;-3.00;100.00
113;BME280;45999;48.808;9.182;2025-01-01T06:49:44;98784.44;;;-3.00;100.00
113;BME280;45999;48.808;9.182;2025-01-01T06:52:10;98796.25;;;-2.96;100.00
113;BME280;45999;48.808;9.182;2025-01-01T06:54:40;98790.59;;;-2.90;100.00
113;BME280;45999;48.808;9.182;2025-01-01T06:57:06;98795.06;;;-3.03;100.00
113;BME280;45999;48.808;9.182;2025-01-01T06:59:36;98796.50;;;-2.99;100.00
113;BME280;45999;48.808;9.182;2025-01-01T07:02:02;98790.00;;;-2.93;100.00
113;BME280;45999;48.808;9.182;2025-01-01T07:04:32;98782.19;;;-2.93;100.00
113;BME280;45999;48.808;9.182;2025-01-01T07:06:58;98790.69;;;-2.91;100.00
113;BME280;45999;48.808;9.182;2025-01-01T07:09:28;98782.66;;;-2.88;100.00
113;BME280;45999;48.808;9.182;2025-01-01T07:11:54;98790.47;;;-2.99;100.00
113;BME280;45999;48.808;9.182;2025-01-01T07:14:24;98780.06;;;-2.99;100.00
113;BME280;45999;48.808;9.182;2025-01-01T07:16:50;98779.47;;;-2.92;100.00
113;BME280;45999;48.808;9.182;2025-01-01T07:19:20;98772.47;;;-2.91;100.00
113;BME280;45999;48.808;9.182;2025-01-01T07:21:45;98770.25;;;-2.96;100.00
113;BME280;45999;48.808;9.182;2025-01-01T07:24:15;98761.50;;;-2.95;100.00
113;BME280;45999;48.808;9.182;2025-01-01T07:26:40;98770.00;;;-2.93;100.00
113;BME280;45999;48.808;9.182;2025-01-01T07:29:10;98774.25;;;-3.03;100.00
113;BME280;45999;48.808;9.182;2025-01-01T07:31:35;98774.41;;;-2.93;100.00
113;BME280;45999;48.808;9.182;2025-01-01T07:34:04;98781.25;;;-2.92;100.00
113;BME280;45999;48.808;9.182;2025-01-01T07:36:30;98788.00;;;-2.79;100.00
113;BME280;45999;48.808;9.182;2025-01-01T07:38:59;98777.69;;;-2.69;100.00
113;BME280;45999;48.808;9.182;2025-01-01T07:41:25;98782.78;;;-2.68;100.00
113;BME280;45999;48.808;9.182;2025-01-01T07:43:54;98783.25;;;-2.63;100.00
113;BME280;45999;48.808;9.182;2025-01-01T07:46:20;98777.34;;;-2.65;100.00
113;BME280;45999;48.808;9.182;2025-01-01T07:48:49;98770.22;;;-2.52;100.00
113;BME280;45999;48.808;9.182;2025-01-01T07:51:15;98780.16;;;-2.57;100.00
113;BME280;45999;48.808;9.182;2025-01-01T07:53:45;98769.97;;;-2.49;100.00
113;BME280;45999;48.808;9.182;2025-01-01T07:56:10;98783.94;;;-2.50;100.00
